Reference,Habitat.Type,Management.Method,Management.Intensity,Duration.of.treatment..years.,Years.since.Treatment..if.applicable.,Significant.,Alpha,Management.Effect.Type,Ecosystem.element.assessed..soil.plant.microbe.fungi.fauna.,Endpoint,Measurement.Unit,Endpoint.Modifier,Magnitude.or.degree.of.change,Magnitude.or.degree.of.change..text.,Response..Measurement,Response.Number.of.Observations,Response.Standard.Deviation,Control.Reference.Measurement,Control.Number.of.Observations,Control.Standard.Deviation,general.area,Location
Ouimet and Moore 2015,Forest,Liming,363 g/m2 dolomite,,8,Not Stated,Not Stated,biogeochemical,Soil,exchangeable CEC,cmol/kg,Mineral B,-2.36%,Decrease,8.67,12,0.63,8.88,12,0.57,NA,Canada
Ouimet and Moore 2015,Forest,Liming,363 g/m2 dolomite,,8,Not Stated,Not Stated,biogeochemical,Soil,base saturation,%,Mineral B,98.63%,Increase,20.28,12,2.87,10.21,12,0.91,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,pH,,forest floor,0.96%,Increase,3.16,1,0.07,3.13,1,0.07,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Soil,K,% of cation exchange capacity,forest floor,-26.97%,Decrease,6.5,1,0.05,8.9,1,0.5,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Mg,% of cation exchange capacity,forest floor,-25.00%,Decrease,8.7,1,0.8,11.6,1,0.8,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Ca,% of cation exchange capacity,forest floor,-5.69%,Decrease,51.4,1,3.4,54.5,1,3.3,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Al,% of cation exchange capacity,forest floor,-34.62%,Decrease,15.3,1,3.9,23.4,1,4.1,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,base saturation,% of cation exchange capacity,forest floor,-10.48%,Decrease,67.5,1,4.1,75.4,1,4,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Ca:Al,M/M,forest floor,69.70%,Increase,5.6,1,1.2,3.3,1,1.3,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,C:N,,forest floor,0.46%,Increase,22,1,0.7,21.9,1,0.7,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,pH,,Mineral B horizon,0.00%,Decrease,3.72,1,0.09,3.72,1,0.09,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Soil,K,% of cation exchange capacity,Mineral B horizon,5.88%,Increase,1.8,1,0.2,1.7,1,0.2,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Mg,% of cation exchange capacity,Mineral B horizon,7.14%,Increase,1.5,1,0.1,1.4,1,0.1,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Ca,% of cation exchange capacity,Mineral B horizon,7.89%,Increase,4.1,1,1.3,3.8,1,1.3,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Al,% of cation exchange capacity,Mineral B horizon,898.14%,Increase,914.3,1,0.8,91.6,1,0.8,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,base saturation,% of cation exchange capacity,Mineral B horizon,6.85%,Increase,7.8,1,1.2,7.3,1,1.2,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,Ca:Al,M/M,Mineral B horizon,0.00%,Decrease,0.03,1,0.01,0.03,1,0.01,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Soil,C:N,,Mineral B horizon,1.65%,Increase,24.7,1,0.9,24.3,1,0.9,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,N,g/kg,sugar maple,-5.19%,Decrease,17.52,3,0.9,18.48,3,0.9,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,P,g/kg,sugar maple,-11.90%,Decrease,1.48,3,0.13,1.68,3,0.13,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,K,g/kg,sugar maple,-13.60%,Decrease,5.72,3,0.53,6.62,3,0.53,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Plant,Ca,g/kg,sugar maple,19.69%,Increase,5.47,3,0.33,4.57,3,0.33,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,Mg,g/kg,sugar maple,-6.48%,Decrease,1.01,3,0.14,1.08,3,0.08,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Plant,N,g/kg,yellow birch,-0.93%,Decrease,22.47,3,0.95,22.68,3,0.98,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,P,g/kg,yellow birch,12.30%,Increase,2.1,3,0.09,1.87,3,0.1,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,K,g/kg,yellow birch,-6.99%,Decrease,7.05,3,0.9,7.58,3,0.9,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Plant,Ca,g/kg,yellow birch,21.34%,Increase,9.61,3,0.58,7.92,3,0.53,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,Mg,g/kg,yellow birch,10.70%,Increase,2.38,3,0.22,2.15,3,0.1,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,N,g/kg,american beech,8.44%,Increase,22.49,3,1.29,20.74,3,1.29,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,P,g/kg,american beech,-10.78%,Decrease,1.49,3,0.08,1.67,3,0.08,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,K,g/kg,american beech,-9.42%,Decrease,5.77,3,0.47,6.37,3,0.47,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,Y,0.05,biogeochemical,Plant,Ca,g/kg,american beech,17.38%,Increase,5.47,3,0.27,4.66,3,0.3,NA,Canada
Ouimet et al 2017,Deciduous Forest,Liming,320 g/m2,,20,N,0.05,biogeochemical,Plant,Mg,g/kg,american beech,-2.48%,Decrease,1.18,3,0.13,1.21,3,0.08,NA,Canada
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0,Y,0.05,biogeochemical,Soil,net ammonification,mg N/kg,forest floor (<4mm),81.00%,Increase,181,10,23,100,10,21,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0,Y,0.05,biogeochemical,Soil,net nitrification,mg N/kg,forest floor (<4mm),-28.57%,Decrease,2.5,10,0.6,3.5,10,1.2,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0,Y,0.05,biogeochemical,Soil,net ammonification,mg N/kg,0 cm - 10 cm mineral soil,-44.09%,Decrease,14.2,10,1.3,25.4,10,3,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0,N,0.05,biogeochemical,Soil,net nitrification,mg N/kg,0 cm - 10 cm mineral soil,-466.67%,Decrease,-0.11,10,0.01,0.03,10,0.01,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0.5,N,0.05,biogeochemical,Soil,net ammonification,mg N/kg,forest floor (<4mm),118.75%,Increase,70,10,22,32,10,21,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0.5,Y,0.05,biogeochemical,Soil,net nitrification,mg N/kg,forest floor (<4mm),110.71%,Increase,-5.9,10,0.5,-2.8,10,0.4,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0.5,Y,0.05,biogeochemical,Soil,net ammonification,mg N/kg,0 cm - 10 cm mineral soil,47.12%,Increase,28.1,10,2.9,19.1,10,1.8,,
Schoch and Binkley 1985,Forest,Prescribed Burn,,,0.5,Y,0.05,biogeochemical,Soil,net nitrification,mg N/kg,0 cm - 10 cm mineral soil,215.38%,Increase,-0.41,10,0.01,-0.13,10,0.01,,
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,debris,-11.96%,Decrease,7726,8,2800,8776,8,2830,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,community composition,Plant,mass,kg/ha,small wood,-80.25%,Decrease,1369,8,770,6933,8,1369,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,community composition,Plant,mass,kg/ha,litter,-65.07%,Decrease,1873,8,438,5362,8,365,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Soil,mass,kg/ha,humus,-7.06%,Decrease,28449,8,77.83,30609,8,7906,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,debris,-9.73%,Decrease,7308,6,2675,8096,6,3036,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,small wood,-41.78%,Decrease,2465,6,492,4234,6,1295,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,litter,-25.17%,Decrease,2825,6,737,3775,6,660,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Soil,mass,kg/ha,humus,-6.30%,Decrease,13849,6,5190,14780,6,5157,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,debris,-0.81%,Decrease,15593,6,10941,15720,6,10913,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,small wood,-9.24%,Decrease,3231,6,1245,3560,6,1210,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Plant,mass,kg/ha,litter,-2.96%,Decrease,4028,6,406,4151,6,397,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,community composition,Soil,mass,kg/ha,humus,21.49%,Increase,13410,6,1559,11038,6,1414,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,debris,-11.97%,Decrease,3678,8,1333,4178,8,1347,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,biogeochemical,Ground cover,C,kg/ha,small wood,-78.64%,Decrease,735,8,406,3441,8,1051,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,biogeochemical,Ground cover,C,kg/ha,litter,-65.30%,Decrease,946,8,336,2726,8,201,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,C,kg/ha,humus,-3.61%,Decrease,13154,8,3803,13646,8,4010,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,debris,-9.78%,Decrease,3478,6,1273,3855,6,1445,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,small wood,-41.44%,Decrease,1242,6,238,2121,6,655,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,litter,-24.82%,Decrease,1384,6,355,1841,6,338,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,C,kg/ha,humus,-8.15%,Decrease,6065,6,2449,6603,6,2220,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,debris,-1.04%,Decrease,7424,6,5208,7502,6,5195,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,small wood,-9.37%,Decrease,1587,6,612,1751,6,595,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Ground cover,C,kg/ha,litter,-2.64%,Decrease,1993,6,197,2047,6,194,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,C,kg/ha,humus,21.64%,Increase,5935,6,728,4879,6,591,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,debris,-12.32%,Decrease,12.1,8,4.4,13.8,8,4.4,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,biogeochemical,Plant,N,kg/ha,small wood,-78.30%,Decrease,7.9,8,4.3,36.4,8,13.2,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,Y,0.1,biogeochemical,Plant,N,kg/ha,litter,-47.01%,Decrease,27.5,8,12.3,51.9,8,4.4,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,N,kg/ha,humus,-5.34%,Decrease,413.4,8,102.6,436.7,8,112.5,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,debris,-9.45%,Decrease,11.5,6,4.2,12.7,6,4.8,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,small wood,-39.32%,Decrease,14.2,6,2.7,23.4,6,7.3,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,litter,11.04%,Increase,36.2,6,10.4,32.6,6,5.8,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,N,kg/ha,humus,2.72%,Increase,200.3,6,69,195,6,66.8,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,debris,-0.81%,Decrease,24.5,6,17.2,24.7,6,17.1,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,small wood,-7.94%,Decrease,17.4,6,6.2,18.9,6,6.1,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Plant,N,kg/ha,litter,-1.12%,Decrease,44.2,6,4.1,44.7,6,4.1,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,N,0.1,biogeochemical,Soil,N,kg/ha,humus,21.31%,Increase,218.6,6,26.7,180.2,6,22.4,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Ground cover,C,%,debris,-33.33%,Decrease,33.2,8,9.8,49.8,8,0.52,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Ground cover,C,%,small wood,-22.68%,Decrease,39.2,8,8.6,50.7,8,0.33,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,C,%,litter,2.52%,Increase,44.7,8,2.61,43.6,8,2.66,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,C,%,humus,2.22%,Increase,50.7,6,0.63,49.6,6,0.42,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Ground cover,C,%,litter,2.47%,Increase,49.8,6,0.95,48.6,6,1.42,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,C,%,humus,-5.71%,Decrease,42.9,6,2.69,45.5,6,1.36,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Ground cover,C,%,small wood,0.00%,Decrease,49.2,6,0.19,49.2,6,0.18,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Ground cover,C,%,litter,0.41%,Increase,49.5,6,0.51,49.3,6,0.43,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,C,%,humus,-0.22%,Decrease,44.5,6,1.17,44.6,6,1.21,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,small wood,-24.00%,Decrease,0.38,8,0.12,0.5,8,0.04,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,litter,6.19%,Increase,1.03,8,0.24,0.97,8,0.07,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,N,%,humus,5.52%,Increase,1.53,8,0.06,1.45,8,0.12,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,small wood,3.39%,Increase,0.61,6,0.09,0.59,6,0.09,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,litter,41.86%,Increase,1.22,6,0.12,0.86,6,0.03,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,N,%,humus,12.59%,Increase,1.52,6,0.1,1.35,6,0.08,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,small wood,1.82%,Increase,0.56,6,0.05,0.55,6,0.05,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Plant,N,%,litter,1.85%,Increase,1.1,6,0.02,1.08,6,0.02,SE,North Carolina
Vose et al 1999,Forest,Prescribed Burn,Varied from 80 to 800 degrees C,,0.25,,,biogeochemical,Soil,N,%,humus,0.00%,Decrease,1.64,6,0.03,1.64,6,0.03,SE,North Carolina
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Soil,mineralizable N,mg N/kg,,-6.67%,Decrease,26.6,21,2.5,28.5,21,2.6,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Soil,ammonium,mg N/kg,,9.09%,Increase,1.2,21,0.2,1.1,21,0.2,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Soil,nitrate,mg N/kg,,25.00%,Increase,1.5,21,0.4,1.2,21,0.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,Y,0.1,biogeochemical,Plant,mineralizable N,mg N/kg,saplings,6.59%,Increase,29.1,21,2.4,27.3,21,2.8,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,mineralizable N,mg N/kg,pole,-1.29%,Decrease,22.9,21,2.5,23.2,21,2.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,mineralizable N,mg N/kg,yellow pine,-17.70%,Decrease,34.4,21,2.5,41.8,21,3.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,ammonium,mg N/kg,saplings,18.18%,Increase,1.3,21,0.2,1.1,21,0.2,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,ammonium,mg N/kg,pole,11.11%,Increase,1,21,0.2,0.9,21,0.2,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,Y,0.1,biogeochemical,Plant,ammonium,mg N/kg,yellow pine,-11.76%,Decrease,1.5,21,0.2,1.7,21,0.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,nitrate,mg N/kg,saplings,-18.37%,Decrease,1.2,21,0.3,1.47,21,0.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,nitrate,mg N/kg,pole,36.36%,Increase,1.5,21,0.4,1.1,21,0.2,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,nitrate,mg N/kg,yellow pine,14.29%,Increase,1.6,21,0.3,1.4,21,0.3,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,Y,0.1,biogeochemical,Plant,N,mg N/kg,saplings,-5.76%,Decrease,1603,21,78,1701,21,59,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,N,mg N/kg,pole,-4.19%,Decrease,1418,21,59,1480,21,49,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,Y,0.1,biogeochemical,Plant,N,mg N/kg,yellow pine,-12.66%,Decrease,1573,21,64,1801,21,144,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,P,mg N/kg,saplings,-3.51%,Decrease,1018,21,74,1055,21,44,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,P,mg N/kg,pole,-1.60%,Decrease,985,21,40,1001,21,40,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,P,mg N/kg,yellow pine,0.00%,Decrease,1053,21,46,1053,21,46,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,Y,0.1,biogeochemical,Plant,N,mg N/kg,,-7.90%,Decrease,1480,21,63,1607,21,73,SW,AZ
Wright and Hart 1997,Forest,Prescribed Burn,Two year interval,2,,N,0.1,biogeochemical,Plant,P,mg N/kg,,-1.18%,Decrease,1006,21,46,1018,21,41,SW,AZ
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,organic matter,g/kg,hardwoods,-29.79%,Decrease,509,5,47.2,725,5,40.3,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,organic matter,g/kg,hardwoods,6.64%,Increase,562,5,77.2,527,5,78,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,organic matter,g/kg,hardwoods,-5.31%,Decrease,571,5,17,603,5,51,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,organic matter,g/kg,spruce fir,-9.06%,Decrease,813,5,40,894,5,19.7,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,pH,,hardwoods,10.53%,Increase,4.2,5,0.2,3.8,5,0.11,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,pH,,hardwoods,10.00%,Increase,4.4,5,0.22,4,5,0.07,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,pH,,hardwoods,18.92%,Increase,4.4,5,0.18,3.7,5,0.1,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,biogeochemical,Soil,pH,,spruce fir,16.22%,Increase,4.3,5,0.016,3.7,5,0.09,NE,NH
Fisk et al (2006),Mixed forest,Liming,170 g/m2 Wollastonite,1,2,,,community composition,microarthropods,abundance,number/ m2,,-49.19%,Decrease,81400,5,12530,160200,5,20480,NE,NH
FFS Data - Northern Rocky Mountains,Forest,Prescribed Burn,,,1,,,community composition,Plant,simpson diversity,,,-1.35%,Decrease,0.75666666,3,0.060277138,0.75333333,3,0.030550504,MW, MT
FFS Data - Northern Rocky Mountains,Forest,Prescribed Burn,,,2,,,community composition,Plant,simpson diversity,,,-1.30%,Decrease,0.74666667,3,0.051316015,0.74333334,3,0.028867513,MW, MT
FFS Data - Northern Rocky Mountains,Forest,Prescribed Burn,,,3,,,community composition,Plant,simpson diversity,,,-3.80%,Decrease,0.74666667,3,0.057735026,0.73666668,3,0.032145504,MW, MT
FFS Data - Northern Rocky Mountains,Forest,Thinning,,,1,,,community composition,Plant,simpson diversity,,,-8.11%,Decrease,0.773333326,3,0.047258157,0.75333333,3,0.030550504,MW, MT
FFS Data - Northern Rocky Mountains,Forest,Thinning,,,2,,,community composition,Plant,simpson diversity,,,-7.79%,Decrease,0.763333336,3,0.037859388,0.74333334,3,0.028867513,MW, MT
FFS Data - Northern Rocky Mountains,Forest,Thinning,,,3,,,community composition,Plant,simpson diversity,,,-12.66%,Decrease,0.769999996,3,0.036055513,0.73666668,3,0.032145504,MW, MT
FFS Data - Southern Cascades,Forest,Prescribed Burn,,,1,,,community composition,Plant,simpson diversity,,,1.02%,Increase,0.339999974,3,0.052915026,0.34666669,3,0.058594652,PNW, CA
FFS Data - Southern Cascades,Forest,Prescribed Burn,,,2,,,community composition,Plant,simpson diversity,,,0.51%,Increase,0.343333304,3,0.11150486,0.34666669,3,0.058594652,PNW, CA
FFS Data - Southern Cascades,Forest,Thinning,,,2,,,community composition,Plant,simpson diversity,,,-0.51%,Decrease,0.350000024,3,0.086602539,0.34666669,3,0.058594652,PNW, CA
